dish,ingredients,recipe_steps,region,cooking_time,image_url
Lemon Rice,"rice, lemon, turmeric, mustard seeds, curry leaves","1. Cook rice and let it cool.
2. Heat oil, add mustard seeds, curry leaves, green chilies, and turmeric.
3. Add lemon juice and salt.
4. Mix with rice and serve.",South Indian,15 minutes,https://upload.wikimedia.org/wikipedia/commons/6/68/Lemon_Rice.JPG
Shakshuka,"eggs, tomatoes, bell pepper, onion, garlic, olive oil","1. Sauté onions, garlic, and bell pepper in olive oil.
2. Add chopped tomatoes and simmer until thick.
3. Crack eggs on top and cover until cooked.
4. Garnish with herbs and serve hot.",Middle Eastern,25 minutes,https://upload.wikimedia.org/wikipedia/commons/2/2e/Shakshuka.jpg
Paella,"rice, saffron, chicken, shrimp, peas, bell pepper","1. Sauté chicken and shrimp with spices.
2. Add rice and saffron-infused broth.
3. Simmer without stirring until rice is cooked.
4. Garnish with peas and bell pepper.",Spanish,40 minutes,https://upload.wikimedia.org/wikipedia/commons/4/47/Paella_de_marisco_01.jpg
Green Thai Curry,"coconut milk, green curry paste, chicken, basil, eggplant","1. Fry green curry paste in oil.
2. Add chicken pieces and cook until sealed.
3. Pour in coconut milk, add vegetables and simmer.
4. Garnish with Thai basil and serve with rice.",Thai,30 minutes,https://upload.wikimedia.org/wikipedia/commons/8/8a/Green_curry_dish.jpg
Spaghetti Carbonara,"spaghetti, eggs, pancetta, parmesan cheese, black pepper","1. Cook spaghetti and save some pasta water.
2. Fry pancetta until crispy.
3. Mix eggs and parmesan in a bowl.
4. Combine all off heat, adding pasta water to create a sauce.",Italian,20 minutes,https://upload.wikimedia.org/wikipedia/commons/3/33/Spaghetti_alla_Carbonara.jpg
Lemon Rice,"rice, lemon, turmeric, mustard seeds, curry leaves","1. Cook rice and let it cool.
2. Heat oil, add mustard seeds, curry leaves, green chilies, and turmeric.
3. Add lemon juice and salt.
4. Mix with rice and serve.",South Indian,15 minutes,https://upload.wikimedia.org/wikipedia/commons/6/68/Lemon_Rice.JPG
Shakshuka,"eggs, tomatoes, bell pepper, onion, garlic, olive oil","1. Sauté onions, garlic, and bell pepper in olive oil.
2. Add chopped tomatoes and simmer until thick.
3. Crack eggs on top and cover until cooked.
4. Garnish with herbs and serve hot.",Middle Eastern,25 minutes,https://upload.wikimedia.org/wikipedia/commons/2/2e/Shakshuka.jpg
Paella,"rice, saffron, chicken, shrimp, peas, bell pepper","1. Sauté chicken and shrimp with spices.
2. Add rice and saffron-infused broth.
3. Simmer without stirring until rice is cooked.
4. Garnish with peas and bell pepper.",Spanish,40 minutes,https://upload.wikimedia.org/wikipedia/commons/4/47/Paella_de_marisco_01.jpg
Green Thai Curry,"coconut milk, green curry paste, chicken, basil, eggplant","1. Fry green curry paste in oil.
2. Add chicken pieces and cook until sealed.
3. Pour in coconut milk, add vegetables and simmer.
4. Garnish with Thai basil and serve with rice.",Thai,30 minutes,https://upload.wikimedia.org/wikipedia/commons/8/8a/Green_curry_dish.jpg
Spaghetti Carbonara,"spaghetti, eggs, pancetta, parmesan cheese, black pepper","1. Cook spaghetti and save some pasta water.
2. Fry pancetta until crispy.
3. Mix eggs and parmesan in a bowl.
4. Combine all off heat, adding pasta water to create a sauce.",Italian,20 minutes,https://upload.wikimedia.org/wikipedia/commons/3/33/Spaghetti_alla_Carbonara.jpg
Lemon Rice,"rice, lemon, turmeric, mustard seeds, curry leaves","1. Cook rice and let it cool.
2. Heat oil, add mustard seeds, curry leaves, green chilies, and turmeric.
3. Add lemon juice and salt.
4. Mix with rice and serve.",South Indian,15 minutes,https://upload.wikimedia.org/wikipedia/commons/6/68/Lemon_Rice.JPG
Shakshuka,"eggs, tomatoes, bell pepper, onion, garlic, olive oil","1. Sauté onions, garlic, and bell pepper in olive oil.
2. Add chopped tomatoes and simmer until thick.
3. Crack eggs on top and cover until cooked.
4. Garnish with herbs and serve hot.",Middle Eastern,25 minutes,https://upload.wikimedia.org/wikipedia/commons/2/2e/Shakshuka.jpg
Paella,"rice, saffron, chicken, shrimp, peas, bell pepper","1. Sauté chicken and shrimp with spices.
2. Add rice and saffron-infused broth.
3. Simmer without stirring until rice is cooked.
4. Garnish with peas and bell pepper.",Spanish,40 minutes,https://upload.wikimedia.org/wikipedia/commons/4/47/Paella_de_marisco_01.jpg
Green Thai Curry,"coconut milk, green curry paste, chicken, basil, eggplant","1. Fry green curry paste in oil.
2. Add chicken pieces and cook until sealed.
3. Pour in coconut milk, add vegetables and simmer.
4. Garnish with Thai basil and serve with rice.",Thai,30 minutes,https://upload.wikimedia.org/wikipedia/commons/8/8a/Green_curry_dish.jpg
Spaghetti Carbonara,"spaghetti, eggs, pancetta, parmesan cheese, black pepper","1. Cook spaghetti and save some pasta water.
2. Fry pancetta until crispy.
3. Mix eggs and parmesan in a bowl.
4. Combine all off heat, adding pasta water to create a sauce.",Italian,20 minutes,https://upload.wikimedia.org/wikipedia/commons/3/33/Spaghetti_alla_Carbonara.jpg
Lemon Rice,"rice, lemon, turmeric, mustard seeds, curry leaves","1. Cook rice and let it cool.
2. Heat oil, add mustard seeds, curry leaves, green chilies, and turmeric.
3. Add lemon juice and salt.
4. Mix with rice and serve.",South Indian,15 minutes,https://upload.wikimedia.org/wikipedia/commons/6/68/Lemon_Rice.JPG
Shakshuka,"eggs, tomatoes, bell pepper, onion, garlic, olive oil","1. Sauté onions, garlic, and bell pepper in olive oil.
2. Add chopped tomatoes and simmer until thick.
3. Crack eggs on top and cover until cooked.
4. Garnish with herbs and serve hot.",Middle Eastern,25 minutes,https://upload.wikimedia.org/wikipedia/commons/2/2e/Shakshuka.jpg
Paella,"rice, saffron, chicken, shrimp, peas, bell pepper","1. Sauté chicken and shrimp with spices.
2. Add rice and saffron-infused broth.
3. Simmer without stirring until rice is cooked.
4. Garnish with peas and bell pepper.",Spanish,40 minutes,https://upload.wikimedia.org/wikipedia/commons/4/47/Paella_de_marisco_01.jpg
Green Thai Curry,"coconut milk, green curry paste, chicken, basil, eggplant","1. Fry green curry paste in oil.
2. Add chicken pieces and cook until sealed.
3. Pour in coconut milk, add vegetables and simmer.
4. Garnish with Thai basil and serve with rice.",Thai,30 minutes,https://upload.wikimedia.org/wikipedia/commons/8/8a/Green_curry_dish.jpg
Spaghetti Carbonara,"spaghetti, eggs, pancetta, parmesan cheese, black pepper","1. Cook spaghetti and save some pasta water.
2. Fry pancetta until crispy.
3. Mix eggs and parmesan in a bowl.
4. Combine all off heat, adding pasta water to create a sauce.",Italian,20 minutes,https://upload.wikimedia.org/wikipedia/commons/3/33/Spaghetti_alla_Carbonara.jpg
Lemon Rice,"rice, lemon, turmeric, mustard seeds, curry leaves","1. Cook rice and let it cool.
2. Heat oil, add mustard seeds, curry leaves, green chilies, and turmeric.
3. Add lemon juice and salt.
4. Mix with rice and serve.",South Indian,15 minutes,https://upload.wikimedia.org/wikipedia/commons/6/68/Lemon_Rice.JPG
Shakshuka,"eggs, tomatoes, bell pepper, onion, garlic, olive oil","1. Sauté onions, garlic, and bell pepper in olive oil.
2. Add chopped tomatoes and simmer until thick.
3. Crack eggs on top and cover until cooked.
4. Garnish with herbs and serve hot.",Middle Eastern,25 minutes,https://upload.wikimedia.org/wikipedia/commons/2/2e/Shakshuka.jpg
Paella,"rice, saffron, chicken, shrimp, peas, bell pepper","1. Sauté chicken and shrimp with spices.
2. Add rice and saffron-infused broth.
3. Simmer without stirring until rice is cooked.
4. Garnish with peas and bell pepper.",Spanish,40 minutes,https://upload.wikimedia.org/wikipedia/commons/4/47/Paella_de_marisco_01.jpg
Green Thai Curry,"coconut milk, green curry paste, chicken, basil, eggplant","1. Fry green curry paste in oil.
2. Add chicken pieces and cook until sealed.
3. Pour in coconut milk, add vegetables and simmer.
4. Garnish with Thai basil and serve with rice.",Thai,30 minutes,https://upload.wikimedia.org/wikipedia/commons/8/8a/Green_curry_dish.jpg
Spaghetti Carbonara,"spaghetti, eggs, pancetta, parmesan cheese, black pepper","1. Cook spaghetti and save some pasta water.
2. Fry pancetta until crispy.
3. Mix eggs and parmesan in a bowl.
4. Combine all off heat, adding pasta water to create a sauce.",Italian,20 minutes,https://upload.wikimedia.org/wikipedia/commons/3/33/Spaghetti_alla_Carbonara.jpg
Lemon Rice,"rice, lemon, turmeric, mustard seeds, curry leaves","1. Cook rice and let it cool.
2. Heat oil, add mustard seeds, curry leaves, green chilies, and turmeric.
3. Add lemon juice and salt.
4. Mix with rice and serve.",South Indian,15 minutes,https://upload.wikimedia.org/wikipedia/commons/6/68/Lemon_Rice.JPG
Shakshuka,"eggs, tomatoes, bell pepper, onion, garlic, olive oil","1. Sauté onions, garlic, and bell pepper in olive oil.
2. Add chopped tomatoes and simmer until thick.
3. Crack eggs on top and cover until cooked.
4. Garnish with herbs and serve hot.",Middle Eastern,25 minutes,https://upload.wikimedia.org/wikipedia/commons/2/2e/Shakshuka.jpg
Paella,"rice, saffron, chicken, shrimp, peas, bell pepper","1. Sauté chicken and shrimp with spices.
2. Add rice and saffron-infused broth.
3. Simmer without stirring until rice is cooked.
4. Garnish with peas and bell pepper.",Spanish,40 minutes,https://upload.wikimedia.org/wikipedia/commons/4/47/Paella_de_marisco_01.jpg
Green Thai Curry,"coconut milk, green curry paste, chicken, basil, eggplant","1. Fry green curry paste in oil.
2. Add chicken pieces and cook until sealed.
3. Pour in coconut milk, add vegetables and simmer.
4. Garnish with Thai basil and serve with rice.",Thai,30 minutes,https://upload.wikimedia.org/wikipedia/commons/8/8a/Green_curry_dish.jpg
Spaghetti Carbonara,"spaghetti, eggs, pancetta, parmesan cheese, black pepper","1. Cook spaghetti and save some pasta water.
2. Fry pancetta until crispy.
3. Mix eggs and parmesan in a bowl.
4. Combine all off heat, adding pasta water to create a sauce.",Italian,20 minutes,https://upload.wikimedia.org/wikipedia/commons/3/33/Spaghetti_alla_Carbonara.jpg
Lemon Rice,"rice, lemon, turmeric, mustard seeds, curry leaves","1. Cook rice and let it cool.
2. Heat oil, add mustard seeds, curry leaves, green chilies, and turmeric.
3. Add lemon juice and salt.
4. Mix with rice and serve.",South Indian,15 minutes,https://upload.wikimedia.org/wikipedia/commons/6/68/Lemon_Rice.JPG
Shakshuka,"eggs, tomatoes, bell pepper, onion, garlic, olive oil","1. Sauté onions, garlic, and bell pepper in olive oil.
2. Add chopped tomatoes and simmer until thick.
3. Crack eggs on top and cover until cooked.
4. Garnish with herbs and serve hot.",Middle Eastern,25 minutes,https://upload.wikimedia.org/wikipedia/commons/2/2e/Shakshuka.jpg
Paella,"rice, saffron, chicken, shrimp, peas, bell pepper","1. Sauté chicken and shrimp with spices.
2. Add rice and saffron-infused broth.
3. Simmer without stirring until rice is cooked.
4. Garnish with peas and bell pepper.",Spanish,40 minutes,https://upload.wikimedia.org/wikipedia/commons/4/47/Paella_de_marisco_01.jpg
Green Thai Curry,"coconut milk, green curry paste, chicken, basil, eggplant","1. Fry green curry paste in oil.
2. Add chicken pieces and cook until sealed.
3. Pour in coconut milk, add vegetables and simmer.
4. Garnish with Thai basil and serve with rice.",Thai,30 minutes,https://upload.wikimedia.org/wikipedia/commons/8/8a/Green_curry_dish.jpg
Spaghetti Carbonara,"spaghetti, eggs, pancetta, parmesan cheese, black pepper","1. Cook spaghetti and save some pasta water.
2. Fry pancetta until crispy.
3. Mix eggs and parmesan in a bowl.
4. Combine all off heat, adding pasta water to create a sauce.",Italian,20 minutes,https://upload.wikimedia.org/wikipedia/commons/3/33/Spaghetti_alla_Carbonara.jpg
Lemon Rice,"rice, lemon, turmeric, mustard seeds, curry leaves","1. Cook rice and let it cool.
2. Heat oil, add mustard seeds, curry leaves, green chilies, and turmeric.
3. Add lemon juice and salt.
4. Mix with rice and serve.",South Indian,15 minutes,https://upload.wikimedia.org/wikipedia/commons/6/68/Lemon_Rice.JPG
Shakshuka,"eggs, tomatoes, bell pepper, onion, garlic, olive oil","1. Sauté onions, garlic, and bell pepper in olive oil.
2. Add chopped tomatoes and simmer until thick.
3. Crack eggs on top and cover until cooked.
4. Garnish with herbs and serve hot.",Middle Eastern,25 minutes,https://upload.wikimedia.org/wikipedia/commons/2/2e/Shakshuka.jpg
Paella,"rice, saffron, chicken, shrimp, peas, bell pepper","1. Sauté chicken and shrimp with spices.
2. Add rice and saffron-infused broth.
3. Simmer without stirring until rice is cooked.
4. Garnish with peas and bell pepper.",Spanish,40 minutes,https://upload.wikimedia.org/wikipedia/commons/4/47/Paella_de_marisco_01.jpg
Green Thai Curry,"coconut milk, green curry paste, chicken, basil, eggplant","1. Fry green curry paste in oil.
2. Add chicken pieces and cook until sealed.
3. Pour in coconut milk, add vegetables and simmer.
4. Garnish with Thai basil and serve with rice.",Thai,30 minutes,https://upload.wikimedia.org/wikipedia/commons/8/8a/Green_curry_dish.jpg
Spaghetti Carbonara,"spaghetti, eggs, pancetta, parmesan cheese, black pepper","1. Cook spaghetti and save some pasta water.
2. Fry pancetta until crispy.
3. Mix eggs and parmesan in a bowl.
4. Combine all off heat, adding pasta water to create a sauce.",Italian,20 minutes,https://upload.wikimedia.org/wikipedia/commons/3/33/Spaghetti_alla_Carbonara.jpg
Lemon Rice,"rice, lemon, turmeric, mustard seeds, curry leaves","1. Cook rice and let it cool.
2. Heat oil, add mustard seeds, curry leaves, green chilies, and turmeric.
3. Add lemon juice and salt.
4. Mix with rice and serve.",South Indian,15 minutes,https://upload.wikimedia.org/wikipedia/commons/6/68/Lemon_Rice.JPG
Shakshuka,"eggs, tomatoes, bell pepper, onion, garlic, olive oil","1. Sauté onions, garlic, and bell pepper in olive oil.
2. Add chopped tomatoes and simmer until thick.
3. Crack eggs on top and cover until cooked.
4. Garnish with herbs and serve hot.",Middle Eastern,25 minutes,https://upload.wikimedia.org/wikipedia/commons/2/2e/Shakshuka.jpg
Paella,"rice, saffron, chicken, shrimp, peas, bell pepper","1. Sauté chicken and shrimp with spices.
2. Add rice and saffron-infused broth.
3. Simmer without stirring until rice is cooked.
4. Garnish with peas and bell pepper.",Spanish,40 minutes,https://upload.wikimedia.org/wikipedia/commons/4/47/Paella_de_marisco_01.jpg
Green Thai Curry,"coconut milk, green curry paste, chicken, basil, eggplant","1. Fry green curry paste in oil.
2. Add chicken pieces and cook until sealed.
3. Pour in coconut milk, add vegetables and simmer.
4. Garnish with Thai basil and serve with rice.",Thai,30 minutes,https://upload.wikimedia.org/wikipedia/commons/8/8a/Green_curry_dish.jpg
Spaghetti Carbonara,"spaghetti, eggs, pancetta, parmesan cheese, black pepper","1. Cook spaghetti and save some pasta water.
2. Fry pancetta until crispy.
3. Mix eggs and parmesan in a bowl.
4. Combine all off heat, adding pasta water to create a sauce.",Italian,20 minutes,https://upload.wikimedia.org/wikipedia/commons/3/33/Spaghetti_alla_Carbonara.jpg
Lemon Rice,"rice, lemon, turmeric, mustard seeds, curry leaves","1. Cook rice and let it cool.
2. Heat oil, add mustard seeds, curry leaves, green chilies, and turmeric.
3. Add lemon juice and salt.
4. Mix with rice and serve.",South Indian,15 minutes,https://upload.wikimedia.org/wikipedia/commons/6/68/Lemon_Rice.JPG
Shakshuka,"eggs, tomatoes, bell pepper, onion, garlic, olive oil","1. Sauté onions, garlic, and bell pepper in olive oil.
2. Add chopped tomatoes and simmer until thick.
3. Crack eggs on top and cover until cooked.
4. Garnish with herbs and serve hot.",Middle Eastern,25 minutes,https://upload.wikimedia.org/wikipedia/commons/2/2e/Shakshuka.jpg
Paella,"rice, saffron, chicken, shrimp, peas, bell pepper","1. Sauté chicken and shrimp with spices.
2. Add rice and saffron-infused broth.
3. Simmer without stirring until rice is cooked.
4. Garnish with peas and bell pepper.",Spanish,40 minutes,https://upload.wikimedia.org/wikipedia/commons/4/47/Paella_de_marisco_01.jpg
Green Thai Curry,"coconut milk, green curry paste, chicken, basil, eggplant","1. Fry green curry paste in oil.
2. Add chicken pieces and cook until sealed.
3. Pour in coconut milk, add vegetables and simmer.
4. Garnish with Thai basil and serve with rice.",Thai,30 minutes,https://upload.wikimedia.org/wikipedia/commons/8/8a/Green_curry_dish.jpg
Spaghetti Carbonara,"spaghetti, eggs, pancetta, parmesan cheese, black pepper","1. Cook spaghetti and save some pasta water.
2. Fry pancetta until crispy.
3. Mix eggs and parmesan in a bowl.
4. Combine all off heat, adding pasta water to create a sauce.",Italian,20 minutes,https://upload.wikimedia.org/wikipedia/commons/3/33/Spaghetti_alla_Carbonara.jpg
Lemon Rice,"rice, lemon, turmeric, mustard seeds, curry leaves","1. Cook rice and let it cool.
2. Heat oil, add mustard seeds, curry leaves, green chilies, and turmeric.
3. Add lemon juice and salt.
4. Mix with rice and serve.",South Indian,15 minutes,https://upload.wikimedia.org/wikipedia/commons/6/68/Lemon_Rice.JPG
Shakshuka,"eggs, tomatoes, bell pepper, onion, garlic, olive oil","1. Sauté onions, garlic, and bell pepper in olive oil.
2. Add chopped tomatoes and simmer until thick.
3. Crack eggs on top and cover until cooked.
4. Garnish with herbs and serve hot.",Middle Eastern,25 minutes,https://upload.wikimedia.org/wikipedia/commons/2/2e/Shakshuka.jpg
Paella,"rice, saffron, chicken, shrimp, peas, bell pepper","1. Sauté chicken and shrimp with spices.
2. Add rice and saffron-infused broth.
3. Simmer without stirring until rice is cooked.
4. Garnish with peas and bell pepper.",Spanish,40 minutes,https://upload.wikimedia.org/wikipedia/commons/4/47/Paella_de_marisco_01.jpg
Green Thai Curry,"coconut milk, green curry paste, chicken, basil, eggplant","1. Fry green curry paste in oil.
2. Add chicken pieces and cook until sealed.
3. Pour in coconut milk, add vegetables and simmer.
4. Garnish with Thai basil and serve with rice.",Thai,30 minutes,https://upload.wikimedia.org/wikipedia/commons/8/8a/Green_curry_dish.jpg
Spaghetti Carbonara,"spaghetti, eggs, pancetta, parmesan cheese, black pepper","1. Cook spaghetti and save some pasta water.
2. Fry pancetta until crispy.
3. Mix eggs and parmesan in a bowl.
4. Combine all off heat, adding pasta water to create a sauce.",Italian,20 minutes,https://upload.wikimedia.org/wikipedia/commons/3/33/Spaghetti_alla_Carbonara.jpg
Lemon Rice,"rice, lemon, turmeric, mustard seeds, curry leaves","1. Cook rice and let it cool.
2. Heat oil, add mustard seeds, curry leaves, green chilies, and turmeric.
3. Add lemon juice and salt.
4. Mix with rice and serve.",South Indian,15 minutes,https://upload.wikimedia.org/wikipedia/commons/6/68/Lemon_Rice.JPG
Shakshuka,"eggs, tomatoes, bell pepper, onion, garlic, olive oil","1. Sauté onions, garlic, and bell pepper in olive oil.
2. Add chopped tomatoes and simmer until thick.
3. Crack eggs on top and cover until cooked.
4. Garnish with herbs and serve hot.",Middle Eastern,25 minutes,https://upload.wikimedia.org/wikipedia/commons/2/2e/Shakshuka.jpg
Paella,"rice, saffron, chicken, shrimp, peas, bell pepper","1. Sauté chicken and shrimp with spices.
2. Add rice and saffron-infused broth.
3. Simmer without stirring until rice is cooked.
4. Garnish with peas and bell pepper.",Spanish,40 minutes,https://upload.wikimedia.org/wikipedia/commons/4/47/Paella_de_marisco_01.jpg
Green Thai Curry,"coconut milk, green curry paste, chicken, basil, eggplant","1. Fry green curry paste in oil.
2. Add chicken pieces and cook until sealed.
3. Pour in coconut milk, add vegetables and simmer.
4. Garnish with Thai basil and serve with rice.",Thai,30 minutes,https://upload.wikimedia.org/wikipedia/commons/8/8a/Green_curry_dish.jpg
Spaghetti Carbonara,"spaghetti, eggs, pancetta, parmesan cheese, black pepper","1. Cook spaghetti and save some pasta water.
2. Fry pancetta until crispy.
3. Mix eggs and parmesan in a bowl.
4. Combine all off heat, adding pasta water to create a sauce.",Italian,20 minutes,https://upload.wikimedia.org/wikipedia/commons/3/33/Spaghetti_alla_Carbonara.jpg
Lemon Rice,"rice, lemon, turmeric, mustard seeds, curry leaves","1. Cook rice and let it cool.
2. Heat oil, add mustard seeds, curry leaves, green chilies, and turmeric.
3. Add lemon juice and salt.
4. Mix with rice and serve.",South Indian,15 minutes,https://upload.wikimedia.org/wikipedia/commons/6/68/Lemon_Rice.JPG
Shakshuka,"eggs, tomatoes, bell pepper, onion, garlic, olive oil","1. Sauté onions, garlic, and bell pepper in olive oil.
2. Add chopped tomatoes and simmer until thick.
3. Crack eggs on top and cover until cooked.
4. Garnish with herbs and serve hot.",Middle Eastern,25 minutes,https://upload.wikimedia.org/wikipedia/commons/2/2e/Shakshuka.jpg
Paella,"rice, saffron, chicken, shrimp, peas, bell pepper","1. Sauté chicken and shrimp with spices.
2. Add rice and saffron-infused broth.
3. Simmer without stirring until rice is cooked.
4. Garnish with peas and bell pepper.",Spanish,40 minutes,https://upload.wikimedia.org/wikipedia/commons/4/47/Paella_de_marisco_01.jpg
Green Thai Curry,"coconut milk, green curry paste, chicken, basil, eggplant","1. Fry green curry paste in oil.
2. Add chicken pieces and cook until sealed.
3. Pour in coconut milk, add vegetables and simmer.
4. Garnish with Thai basil and serve with rice.",Thai,30 minutes,https://upload.wikimedia.org/wikipedia/commons/8/8a/Green_curry_dish.jpg
Spaghetti Carbonara,"spaghetti, eggs, pancetta, parmesan cheese, black pepper","1. Cook spaghetti and save some pasta water.
2. Fry pancetta until crispy.
3. Mix eggs and parmesan in a bowl.
4. Combine all off heat, adding pasta water to create a sauce.",Italian,20 minutes,https://upload.wikimedia.org/wikipedia/commons/3/33/Spaghetti_alla_Carbonara.jpg
Lemon Rice,"rice, lemon, turmeric, mustard seeds, curry leaves","1. Cook rice and let it cool.
2. Heat oil, add mustard seeds, curry leaves, green chilies, and turmeric.
3. Add lemon juice and salt.
4. Mix with rice and serve.",South Indian,15 minutes,https://upload.wikimedia.org/wikipedia/commons/6/68/Lemon_Rice.JPG
Shakshuka,"eggs, tomatoes, bell pepper, onion, garlic, olive oil","1. Sauté onions, garlic, and bell pepper in olive oil.
2. Add chopped tomatoes and simmer until thick.
3. Crack eggs on top and cover until cooked.
4. Garnish with herbs and serve hot.",Middle Eastern,25 minutes,https://upload.wikimedia.org/wikipedia/commons/2/2e/Shakshuka.jpg
Paella,"rice, saffron, chicken, shrimp, peas, bell pepper","1. Sauté chicken and shrimp with spices.
2. Add rice and saffron-infused broth.
3. Simmer without stirring until rice is cooked.
4. Garnish with peas and bell pepper.",Spanish,40 minutes,https://upload.wikimedia.org/wikipedia/commons/4/47/Paella_de_marisco_01.jpg
Green Thai Curry,"coconut milk, green curry paste, chicken, basil, eggplant","1. Fry green curry paste in oil.
2. Add chicken pieces and cook until sealed.
3. Pour in coconut milk, add vegetables and simmer.
4. Garnish with Thai basil and serve with rice.",Thai,30 minutes,https://upload.wikimedia.org/wikipedia/commons/8/8a/Green_curry_dish.jpg
Spaghetti Carbonara,"spaghetti, eggs, pancetta, parmesan cheese, black pepper","1. Cook spaghetti and save some pasta water.
2. Fry pancetta until crispy.
3. Mix eggs and parmesan in a bowl.
4. Combine all off heat, adding pasta water to create a sauce.",Italian,20 minutes,https://upload.wikimedia.org/wikipedia/commons/3/33/Spaghetti_alla_Carbonara.jpg
Lemon Rice,"rice, lemon, turmeric, mustard seeds, curry leaves","1. Cook rice and let it cool.
2. Heat oil, add mustard seeds, curry leaves, green chilies, and turmeric.
3. Add lemon juice and salt.
4. Mix with rice and serve.",South Indian,15 minutes,https://upload.wikimedia.org/wikipedia/commons/6/68/Lemon_Rice.JPG
Shakshuka,"eggs, tomatoes, bell pepper, onion, garlic, olive oil","1. Sauté onions, garlic, and bell pepper in olive oil.
2. Add chopped tomatoes and simmer until thick.
3. Crack eggs on top and cover until cooked.
4. Garnish with herbs and serve hot.",Middle Eastern,25 minutes,https://upload.wikimedia.org/wikipedia/commons/2/2e/Shakshuka.jpg
Paella,"rice, saffron, chicken, shrimp, peas, bell pepper","1. Sauté chicken and shrimp with spices.
2. Add rice and saffron-infused broth.
3. Simmer without stirring until rice is cooked.
4. Garnish with peas and bell pepper.",Spanish,40 minutes,https://upload.wikimedia.org/wikipedia/commons/4/47/Paella_de_marisco_01.jpg
Green Thai Curry,"coconut milk, green curry paste, chicken, basil, eggplant","1. Fry green curry paste in oil.
2. Add chicken pieces and cook until sealed.
3. Pour in coconut milk, add vegetables and simmer.
4. Garnish with Thai basil and serve with rice.",Thai,30 minutes,https://upload.wikimedia.org/wikipedia/commons/8/8a/Green_curry_dish.jpg
